start,end,sort,page,per,statusCode,scenario
2021-07-01,2021-07-31,desc,1,10,200,"Readings for all Assets in the system with an Active or Disabled status"
2021-05-01,2021-06-30,asc,2,20,400,"Invalid start or end parameter provided, or end provided without start"
2021-04-01,2021-05-31,desc,3,30,401,"No valid API token/key values have been provided with the request"
2021-02-01,2021-03-31,asc,4,40,201,"Readings for all Assets in the system with an Active or Disabled status"
2021-01-01,2021-02-28,desc,5,50,202,"Readings for all Assets in the system with an Active or Disabled status"
2020-12-01,2020-12-31,asc,6,60,405,"Invalid start or end parameter provided, or end provided without start"
2020-11-01,2020-11-30,desc,7,70,406,"No valid API token/key values have been provided with the request"
2020-10-01,2020-10-31,asc,8,80,207,"Readings for all Assets in the system with an Active or Disabled status"
2020-09-01,2020-09-30,desc,9,90,208,"Readings for all Assets in the system with an Active or Disabled status"
2020-08-01,2020-08-31,asc,10,100,409,"Invalid start or end parameter provided, or end provided without start"